Education,Education-Num,Matrital-Status,Native-Country,Occupation,Race,Relationship,Sex,Workclass,Age,Capital-Gain,Capital-Loss,Fnlwgt,Hours-Per-Week,Number of Records
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,158528,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,159549,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,163455,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,163985,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,182757,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,186144,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,195258,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,200835,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,238530,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,265266,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,403276,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,456236,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,149909,42,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,117728,44,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,413297,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,74581,48,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,122749,55,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,180599,55,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,0,50646,70,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,1902,113324,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,43,0,1902,266324,99,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,113324,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,167725,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,169397,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,173981,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,174283,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,182370,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,182402,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,222434,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,260761,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,298885,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,467799,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,187720,41,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,79531,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,224658,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,160574,65,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,755858,70,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,102147,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,155659,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,174426,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,175925,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,188432,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,195949,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,210875,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,273435,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,330087,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,473171,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,5013,0,362883,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,337825,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,738812,46,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,185385,47,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,114459,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,0,380922,60,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,7298,0,170871,60,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,1887,102771,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,45,0,2051,187033,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,58126,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,167915,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,169699,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,173243,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,173243,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,179869,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,201699,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,235646,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,271828,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,328216,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,3464,0,248059,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,122026,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,54190,60,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,46,0,0,185041,75,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,70754,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,101299,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,101684,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,119939,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,121124,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,128796,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,144844,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,147236,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,148995,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,169549,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,195978,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,199058,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,199832,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,204692,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,278900,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,285200,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,312088,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,357848,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,5178,0,187440,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,168211,44,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,229737,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,198901,48,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,115613,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,120131,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,0,205730,56,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,47,0,1977,239865,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,28497,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,54744,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,85341,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,101299,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,102092,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,119565,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,144844,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,216999,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,219565,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,349151,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,128460,42,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,182211,44,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,36177,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,108993,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,265192,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,187715,46,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,176917,55,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,7688,0,155664,70,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,1579,273435,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,31339,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,67365,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,76482,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,98092,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,124672,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,157569,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,179869,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,189462,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,192894,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,193366,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,278322,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,7298,0,139268,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,543922,42,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,185859,43,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,193047,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,247294,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,3103,0,54772,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,7688,0,186172,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,0,0,250733,46,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,49,5013,0,261688,60,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,162632,2,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,169925,15,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,31621,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,33304,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,35224,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,41890,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,104501,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,144361,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,146429,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,163671,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,168539,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,173754,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,177487,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,196975,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,215990,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,222020,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,228238,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,248619,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,257126,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,410186,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,421132,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,3103,0,71417,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,7688,0,48358,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,146325,44,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,5013,0,99307,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,289390,47,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,129956,48,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,65408,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,177896,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,191299,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,15024,0,89041,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,128478,60,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,159755,20,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,33304,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,53197,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,82783,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,97005,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,101432,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,115025,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,115851,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,126010,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,138852,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,145409,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,148431,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,162944,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,186338,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,249339,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,334273,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,193720,42,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,234057,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,82566,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,7298,0,162745,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,0,302847,54,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,51,0,1887,110747,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,0,89041,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,0,89054,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,0,89534,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,0,98588,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,0,115851,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,0,146378,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,0,206862,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,0,154342,48,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,0,259363,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,0,317032,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,52,0,1977,168553,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,22418,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,29658,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,47396,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,48413,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,55861,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,79324,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,92430,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,151864,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,153052,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,165745,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,167651,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,185846,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,189511,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,281425,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,548361,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,7298,0,386773,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,23698,46,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,97005,46,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,154785,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,53,0,0,290688,52,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,48358,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,53407,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,156003,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,175594,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,202415,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,210736,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,230919,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,5178,0,135388,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,7688,0,185407,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,68684,44,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,329266,44,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,182854,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,178946,48,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,0,102828,49,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,54,0,2051,816750,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,15024,0,182460,35,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,0,0,141326,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,0,0,141549,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,0,0,199067,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,0,0,213615,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,0,0,238216,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,0,0,314592,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,0,0,414994,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,3103,0,101468,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,4386,0,387569,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,7688,0,117299,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,0,0,130957,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,55,0,0,147098,50,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,56,0,0,314727,35,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,56,0,0,145574,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,56,0,0,159770,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,56,0,0,206399,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,56,0,0,244605,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,56,3103,0,176118,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,56,5013,0,235826,40,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,56,2885,0,286487,45,1
HS-grad,9,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,56,0,0,187487,48,1
